fold,metric,value,label
test,accuracy,0.7015540928085653,dummy
train,accuracy,0.71205559472253,dummy
test,F1,0.0,dummy
train,F1,0.0,dummy
test,precision,0.0,dummy
train,precision,0.0,dummy
test,recall,0.0,dummy
train,recall,0.0,dummy
test,neg_log_loss,0.6098088002532065,dummy
train,neg_log_loss,0.6003008604885077,dummy
test,roc_auc,0.5,dummy
train,roc_auc,0.5,dummy
test,brier_score,0.20948622921456528,dummy
train,brier_score,0.2050324247468741,dummy
test,accuracy,0.6995124682489826,linear
train,accuracy,0.7122621459822366,linear
test,F1,0.03849767309751142,linear
train,F1,0.03941279719163874,linear
test,precision,0.4274623968947113,linear
train,precision,0.5089036055923473,linear
test,recall,0.020156493090509747,linear
train,recall,0.020500234169823512,linear
test,neg_log_loss,0.5979979373806471,linear
train,neg_log_loss,0.5837562643133816,linear
test,roc_auc,0.5914436444541982,linear
train,roc_auc,0.6101939658981262,linear
test,brier_score,0.20510520531506082,linear
train,brier_score,0.19808602619508878,linear
test,accuracy,0.6991847158113238,mlp
train,accuracy,0.7130132414720789,mlp
test,F1,0.062160723789249604,mlp
train,F1,0.07298352411830873,mlp
test,precision,0.44689317416590146,mlp
train,precision,0.5221301775147928,mlp
test,recall,0.03340349592751899,mlp
train,recall,0.039233820050865245,mlp
test,neg_log_loss,0.5979288635226822,mlp
train,neg_log_loss,0.5810856318428915,mlp
test,roc_auc,0.5950296380363905,mlp
train,roc_auc,0.6194481749064706,mlp
test,brier_score,0.204921117067457,mlp
train,brier_score,0.19705578182490963,mlp
test,accuracy,0.6603323955971923,knn
train,accuracy,0.7436033123311102,knn
test,F1,0.2692189037916293,knn
train,F1,0.4163409004359957,knn
test,precision,0.37610310717070966,knn
train,precision,0.6042228262708519,knn
test,recall,0.20964125560538116,knn
train,recall,0.3175876358333185,knn
test,neg_log_loss,1.5864733959472601,knn
train,neg_log_loss,0.6569252971916585,knn
test,roc_auc,0.5610464645853124,knn
train,roc_auc,0.7416896269636887,knn
test,brier_score,0.2314357228975768,knn
train,brier_score,0.17283219331832284,knn
test,accuracy,0.6758050419249994,radius
train,accuracy,0.8398357149319491,radius
test,F1,0.14907611520332634,radius
train,F1,0.6399809680216719,radius
test,precision,0.34403176441393,radius
train,precision,0.9071171396560539,radius
test,recall,0.09515420517982978,radius
train,recall,0.494388816760631,radius
test,neg_log_loss,7.66148080414468,radius
train,neg_log_loss,0.3120395179038595,radius
test,roc_auc,0.5010276739230578,radius
train,roc_auc,0.9048799878913683,radius
test,brier_score,0.2922369420944381,radius
train,brier_score,0.10525420002265158,radius
test,accuracy,0.7015472646327807,gbdt
train,accuracy,0.713187359062906,gbdt
test,F1,0.019295923175301218,gbdt
train,F1,0.030915110336951636,gbdt
test,precision,0.4994192799070848,gbdt
train,precision,0.570576964019587,gbdt
test,recall,0.009838015923858332,gbdt
train,recall,0.015887977899111342,gbdt
test,neg_log_loss,0.5970151475355538,gbdt
train,neg_log_loss,0.5796516368025761,gbdt
test,roc_auc,0.5950225385300156,gbdt
train,roc_auc,0.626738692582705,gbdt
test,brier_score,0.20443562355061878,gbdt
train,brier_score,0.19646765351097625,gbdt
